text,title
"Kabul, June 12, 2021 Seven people were killed and six others wounded when two mini-van bombs exploded in Shiite Muslim-majority areas of the Afghan capital Kabul on Saturday. It is unclear what type of bomb was used in the explosions. No one has claimed responsibility for the attacks. Six people were killed in the first explosion, while two were wounded, one was killed and four were wounded in the second explosion. The area where the explosions occurred is mostly populated by people from the minority Hazara ethnic group, who are mostly Shiite Muslims. Shiite Muslims are a minority in mostly Sunni Afghanistan. The local Islamic State group has declared war on them. Meanwhile, the US and NATO forces in Afghanistan are withdrawing, a work that is expected to last until September.",Explosions in a mini-van in Afghanistan: 7 killed
"Jamnagar, August 19, 2021 On Thursday, an air valve has been installed in the main water pipeline of the Municipal Corporation passing near Nandanvan Society on Ranjitsagar Road in Jamnagar. The water fountains flew off this morning due to a sudden leakage, and the water situation was like water without rain. However, the water has stopped leaking due to the repair work of the valve being carried out by the Municipal Corporation. The air valve has been placed near Nandanvan Society in the main pipeline of water coming from the pump house of Jamnagar Municipal Corporation to the windmill. The valve in which the force of water flow was released at around 6: 30 am today suddenly leaked the valve, and the water fountains flew away. Due to which the vehicles passing through the above road had to face the water well without rain. Also, the water rails on the road were turned back. A team of the Water Works Department, which was informed about this matter to the Municipal Corporation, and the repair work was carried out in the early morning, however, the water leakage has been stopped due to the water leakage.",Water fountains fly after a leakage from an air valve of a water pipeline near Nandanvan Society on Ranjitsagar Road in Jamnagar.
"On Wednesday, the Sabarimala temple in Kerala opened its gates for the first time since the Supreme Court allowed women to enter the temple. On Wednesday, there was a lot of uproar and thousands of women unsuccessfully tried to enter the temple. However, they were stopped by the devotees of the temple and assaulted and there was a lot of violence. Even in the midst of all this, women reached the steps of the temple on Wednesday. Now on Thursday, Suhasini Raj, a reporter of the New York Times, is trying to reach the temple through the Pamba hill but has to return. On Thursday, i.e. today, Suhasini Raj, a reporter of the New York Times, was trying to go to the temple. But the protesters stopped them. Even today, they were going to the temple through the hill road amid tight security. But they were asked to go back. Then they also agreed. They said that they do not want to make any trouble here. After the Supreme Court's orders on October 17, when the country's oldest women's security cover was opened for the first time in 50 years, the Supreme Court did not allow women to enter the temple.",Sabarimala: The woman journalist reached the temple on the way to the hill and then...
"For details: Union Home Minister interacts with Sarpanches of Kutch, Patan and Banaskantha districts in Dhordo, Kutch For details: For details: For details: For details: For details: Union Home Minister interacts with Sarpanches of Kutch, Patan and Banaskantha districts to create new Corona hotspots Union Home Minister Shri Amit Shah today said that Border Villagers and People's Representatives have become Seema Praharis under his flagship programme Border Guarding, Banaskantha, along with Border Security Social Responsibility among the people of Kutch, Patan and Banaskantha districts. For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For details: For",Border unsafe without awareness of border people: Amit Shah
"Prime Minister Narendra Modi is all set to return to Gujarat soon. He will most likely visit during Makar Sankranti and may inaugurate the 29th International Kite Festival. He will be accompanied by Israeli Prime Minister Benjamin Netanyahu. The dates for the event are being worked out. Of course, it is being said that PM Modi's stay will be for two days. However, the Israeli Prime Minister's arrival in Gujarat was fixed during the assembly elections, only convenient dates were left to be arranged. After Modi became the Prime Minister at the Center, this will be the third major occasion to host a foreign dignitary in Gujarat. Earlier, Chinese President Xi Jinping has hosted his wife and Japanese Prime Minister Shinzo Abe in Gujarat. Prime Minister Modi made history in foreign policy last July. He became the first Prime Minister of the country to visit Israel.","Israeli PM, PM Modi to be Guests at Kite Festival in Gujarat"
"MUMBAI, DECEMBER 26, 2020 Saturday A youth from Kakoda village in Sangrampur Adivasi taluka of Buldana district, Maharashtra, whose B.Pharm education has come to a standstill due to the lockdown. He took several blows from the local government bank for an education loan, but is irked when the bank denies him an education loan on the grounds that the youth's father owes him a farm loan. Finally, the frustrated student has written a letter to the Chief Minister stating that the time has come to stop higher education as the bank has denied him an education loan. So get me a loan for education or allow me to commit suicide. Otherwise, I will try to break the back of this system by becoming a Naxalite. This episode has caused a stir on social media and has drawn everyone's attention to what action the government will take on this issue.",Get an education loan or allow yourself to commit suicide.
"Surat, 8th March 2021, Monday: The command of worship in temples is usually in the hands of men. In Surat, the 800-year-old temple of Mahadev is now in the service of his daughter-in-law Poonamben Goswami. Here Somnath Shiva Lingav has appeared spontaneously while Kamnath Mahadev was established. The women of the family have never experienced the evil of male-dominated beliefs. In every corner of the world, women are expanding their reach in every field. In today's era, the temple is also not an exception. Surat is the stronghold of many ancient temples. In Katargam Darwaza area, there is a temple of Mahadev, which is several years old. There is a temple of Mahadev in the Shravan temple, and for more than eight generations, the temple of Narayani Mahadev. Now 61-year-old Rakshaben Shaileshgiri Goswami is serving and managing the temple. His daughter-in-law Poonam Goswami is also in the service of Mahadev. Here Somnath Shiva Lingav has appeared spontaneously while Kamnath Mahadev was established. In the service of Mahadev, Kaviraj has been working for 40 years",Nari Tu Narayani: 800-year-old temple of Mahadev worshiped by female pandits
"According to reports, Indrajit Pehalwan Patel (22), a resident of Kosad residence in Surat, fell from the fourth floor while talking on the phone and died on the spot.","There is a lot of habit of talking while wearing ear phones, so definitely read this case."
"Madrid | The Spanish football league La Liga has restarted after a three-month long wait and the first match on Sunday was played as per the guidelines in video games. Sevilla beat its traditional rival Real Betis 2-0. La Liga football was suspended since March due to the coronavirus. It is the second largest football league in Europe after Germany's Bundestag, which has restarted its season. Both the Premier League in England and the Italian league will start soon. There will be many tributes to both Corona before the start of the season. There will be no spectators allowed in the stadium Ramon Sanchez Pizjuan, which has a capacity of 43 thousand. Television or virtual supporters, and in the past, the sound of the audience was heard on TV and in the stadium. The return minutes were played as per the guidelines in the video games on Sunday. The crowd enjoyed the match in the country as much as in the second match on Saturday. Only the fans of the Spanish football team were given the option of watching the goal in the empty stadium. They were also able to save the ball in the second match of the match between Barcelona and Barcelona due to the corona virus. Due to the large number of spectators gathered in the stadium, the players of the",Sevilla-Betis played in the style of video games
"Surat: The health of people dealing in scrap in residential areas of Surat is under threat. As many as 141 mosquito breeding spots were found by these traders from there. There has been a protest against such godowns and shops in residential areas for a long time. There was a demand to take action in the standing committee. However, people are upset as the municipal corporation is not taking any strict action. Now the monsoon season is also threatening the health of the people dealing in scrap. Mosquitoes are breeding here. Today, the survey conducted by the VBDC department has found 141 breeding spots. 122 people have been issued notices along with a fine of Rs 1050. However, there is a demand for strict action against these people as they pose a threat to the health of the people.",Bhangarias in Surat found 141 mosquito-breeding spots
