text,title
"The Bopal police have busted a cricket betting racket running in a flat named Orchid Elegans in the South Bopal area of Ahmedabad. Police have arrested 10 bookies and seized 88 mobiles, 5 laptops, 2 LCT TVs. The accused were betting on a Bangladesh Premier League match.",Ahmedabad: 10 youths arrested for betting in South Bopal
"In Mexico, the Day of the Dead is celebrated every year on 1 November. On this day, people go to the grave of their ancestors. All public celebrations are banned on the Day of the Dead. On this day, people go to the grave of their ancestors. They put their favorite things there. They decorate their grave beautifully with flowers. They remember them by placing a candle under their photo. This festival of Mexico is famous all over the world. And in Mexico it is celebrated with great fanfare. On this day, a famous rowing competition is also held. After which the best weeper is given a prize. Mexico has also been badly affected by the corona infection. Many people have also died here due to corona. In view of the situation, the government here has closed the cemetery this time. According to the NYT report, this time all public celebrations are banned. On the occasion of the day of day of day of day of day of day, people do not go to the grave of their ancestors, they do not go to the death of a child by making a video of corona, they do not go to the death of a child, they do not go to the death of a woman, they do not go to the death of","Viral Video: A crying contest took place in Mexico, people started crying now"
"The Narendra Modi government presented the Interim Budget 2019. Union Minister Piyush Goyal presented the budget in Parliament and several new schemes were announced. On this occasion, Prime Minister Narendra Modi was seen patting the table cheerfully and loudly. On the other hand, Congress President Rahul Gandhi's face was completely disappointed.","Budget body language: Excited Modi, disappointed Rahul"
"The entire country is currently fighting coronavirus and there is a 21-day lockdown in the country due to which life has come to a standstill. IMF also said that the recession has started. In such a situation, former Reserve Bank of India (RBI) Governor Raghuram Rajan has said that in such a situation, everything will be stopped for a long time. In such a situation, companies will not be able to help. In such a situation, apart from giving more security to their workers, they will have to give more security to their private companies. In such a situation, the economy can be restarted and how India can fight the challenges. 2008-09 The recession will also be dangerous. 2008-09 According to media reports, Raghuram Rajan said that there was a recession earlier. But this recession will be more dangerous than that. Because everything was going on at that time. Companies were running. The country was running, the financial system was strong. But everything is at a standstill. Also, if the impact of the virus does not end after 21 days, then what will be the help? He said that everything will be stopped for a long time.",Former RBI governor Raghuram Rajan said that the country is on the verge of the biggest economic crisis.
Surat-Sahara Darwaza and Kamela Darwaza: A mother and daughter were tragically killed in the Valsad-Dahod intercity collision on the Koyali creek between Surat-Sahara Darwaza and Kamela Darwaza.,"In Surat, people struggled as their feet got stuck on the railway track, but the blood-thirsty railway track became Yamdoot."
"Surendranagar: Surendranagar district is witnessing a continuous increase in the number of corona positive cases and on the other hand, while the number of corona positive cases is also increasing every day, on the other hand, the local administration and the state government are not releasing the right figures due to which the public is not serious and is seen roaming in the Bindas market.","In Surendranagar district, 15 more cases of black fungus were reported in 24 hours."
Ahmedabad: Another important revelation has come in the controversy of the DPA school in the city. The school which was not given the NOC by the state government and the administrators of the DPS got the recognition from the CBSE board by making the wrong NOC. The District Primary Education Officer of the same state government has been found to have given the permission for classes 1 to 8 in 2012. The then DPEO MM Jani has raised questions about his performance regarding the permission given to the school.,"Important Revelation in the DPS School Case: In 2012, the DPEO itself gave permission for classes 1 to 8"
"American actress Salma Hayek is one of the famous actresses in Hollywood. She is in the news for her beauty and body apart from her acting. Now recently, Salma has spoken openly about her big breasts, about which she has come into the limelight once again. Actually, people talk all kinds of things about her breast size. In an interview about this, Salma Hayek said - 'Many people said that my breasts have increased. I don't blame them! My breasts were small! It was the same in the rest of my body. However, her growth is natural. The 54-year-old actress explained that this has happened in a significant way during life changes like pregnancy, menopause, periods and weight gain. Salma Hayek said,' Some women have small breasts but some women are such that their breast size increases when they gain weight. When some women have children, she breastfed them, then her breasts increase in size. In addition, in her menopause, her breasts increase in size, and in many cases, she does not. 'She told me about her breast size.' She said that she is not growing in size. 'I am not going to have any breast","The actress opened up about her breasts, saying that my breasts are big...."
The Himmatnagar A-Division police have registered a case and are investigating the incident.,Himmatnagar: Two Rajasthani youths killed as tempo rams into bikers
"Junagadh: Junagadh district Leuva Patel Mahila Mandal, which has made 4950 sisters self-reliant by giving them sewing machines in the last 12 years to make them self-reliant so that women can also become self-sufficient in earning their livelihood as a male companion, has entered its 12th year by completing 11 years. In this context, giving a glimpse of this service institution, Harsukhbhai Vaghasia, known for the past 35 years, said that 1950 daughters have been turned into mothers-in-law by the Leuva Patel Samhalgan Samiti so far. With the hard work and support of donors like Pritiben Vaghasia, the president of the Mahila Mandal, Rasilaben Vaghasia, etc., this service is going on in a big way. The Damodar sisters have been made self-reliant by giving them sewing machines. The Damodar Purohit Kunds are earning a break in the Damodar river from 5000 to 15000 months by installing a rain-fed water tank in the Damodar river. When the work of the Damodar Purohit Kunds has been done in more than 400",Junagadh: Commendable work done to make women self-reliant - Teerthgore requests Tantra for Amavasya
Two trucks of a cable bridge were swept away by a liquid-filled tanker on a cable bridge in Bharuch after the exit valve of a circular-filled tanker was broken in an accident caused by the drift of another tanker from behind.,"Collision on Bharuch cable bridge, rail derailment"
"Former India opening batsman Wasim Jaffer has compared Prithvi Shaw to Virender Sehwag, saying that the young Mumbai batsman needs to be more disciplined off the field. Shaw was handed an 8-month ban after his impressive debut against West Indies in Tests. Shaw made a comeback to competitive cricket after completing his ban and got a chance to make it to the playing XI on India's tour of New Zealand this year. The strength to demolish any bowling attack. Wasim Jaffer, 42, said on his YouTube channel with former opening batsman Aakash Chopra, ""I think he (Shaw) needs to be more disciplined off the field. He has achieved success at the international level, but he needs to be more disciplined off the cricket field as well."" Zaffer, the highest run-scorer in the Ranji Trophy, said that Shaw has the ability to demolish the hot bowling attack. Shaw needs to understand his game a little better. Shaw has to understand his game in a better way this year. He says goodbye to domestic cricket. ""I think he needs to be more disciplined off the field.""","This young Indian batsman has the same stamina as Sehwag, can take the wickets of good bowlers."
"Akshay Kumar and Kareena Kapoor Khan will be seen together in Karan Johar's next film, which also stars Diljit Dosanjh and Kiara Advani.",Akshay Kumar-Kareena Kapoor Khan to share the silver screen again
"Indian cricket team captain Virat Kohli is making waves on the field with his performance. Virat Kohli's batting has fans not only in India but all over the world. Virat Kohli has carved a niche for himself in the world of cricket in the last few years. However, like cricket captain Kohli, now another Kohli is making waves on the video-making app Tik-Tok. Let us tell you that this captain is not Virat Kohli but his lookalike. This man who looks exactly like Virat. This man's name is Gaurav Arora. He is a famous Tik-Tok star. Gaurav has more than 4 million (about 40 lakh) followers. While his video has 32. 9 million likes. Video-making cap Tik-Tok Gaurav Arora is also followed by some people because he looks like Virat Kohli. Not only does he look like Virat Kohli, but Gaurav's hairstyle and his look are also similar. Gaurav Kohli is often seen on Tik-Tok.",Team India captain Virat Kohli has made a splash on Tik Tok!
"Wuhan, Dec 25: Sloane Stephens of the United States and runner-up Madison Case were knocked out of the Wuhan Open after losing in the first round. Stephens was defeated 6-2, 6-2 by China's Vog Qiang while Madison Keys was defeated 6-2, 6-2 by American qualifier Varvara Lepchenko. Stephens and Madinas Keys both took the tennis court for the first time after the US Open final but were disappointed in the first round. Stephens said, ""The court here was very fast and I could not perform well which led to the defeat. In another women's singles match, Poland's Agnieszka Radwanska defeated Slovakia's Megdlina Rybarikova 6-4, 7-5 to advance to the second round. In the second round, Redwanska faced Germany's Julio Carbajer in the third set.",US Open champion Stephens crashes out in first round of Wuhan Open
"New Delhi, January 5, 2020: The Budget Session of Parliament will begin on Tuesday, January 29. The Budget Session will be in two parts, with the first part running from January 15. The second part running from March 8 to April 8. The Union Budget will be presented in Parliament on February 1. President Ram Nath Kovind will address both the Houses on the first day of the Budget Session. The Budget Session of Parliament will follow the Corona protocol. Notably, the winter session of Parliament has not been held this year due to the coronavirus pandemic. The government's decision was also questioned by the opposition. Finance Minister Nirmala Sitharaman has already discussed the 2021-22 Budget with experts in the infrastructure, energy and climate change sectors. The Finance Minister has been holding pre-Budget discussions with experts from various sectors since December 14. According to the Finance Ministry, all these meetings are being held online due to the Corona pandemic.","The Budget session of Parliament will begin on January 29, with the Budget to be presented on February 1."
"Ahmedabad, 17th June 2021: The second wave of Corona virus has hit the state on Thursday. The daily cases of Corona virus are continuously decreasing for the last few days. As per the data released by the state government in the last 24 hours, 283 new cases of Corona have been reported in the state today, while 6 people have died due to infection. Today, the number of people who have recovered from Corona against the new patients of Corona has again reached a very high rate. With 283 new cases reported, 770 people have recovered from Corona in the state today. With the death of 6 people so far, a total of 10,018 people have died due to Corona. There are currently 7749 active cases in the state, out of which 203 patients are on ventilators. The number of active cases is also decreasing.","The state recorded less than 300 corona cases for the third consecutive day, the recovery rate reached 97.84%."
"Bollywood actress Kangana Ranaut is known for her good sense of films and fashion. However, the actress says that it didn't take long for her to be at the forefront of fashion. Kangana says that she has been innovating with her looks since her youth. Kangana has said in a statement, ""I started my journey from a small village and it didn't take long for me to become a fashion giant. I have been innovating with my looks since my youth. It's not that I feel any different in my hometown because of this fashion."" Kangana further said that her father did not like her fashion style. He was very angry with Kangana, although Kangana did not care. Notably, Kangana's next film 'Rangoon' is based on the backdrop of India's pre-1940s freedom struggle. Directed by Vishal Bhardwaj, the film stars Shahid Kapoor and Saif Ali Khan.",Kangana Ranaut says' come on 'for her chic fashion choices
"There are many cases of lovers committing suicide, but this is probably the first case in Ahmedabad where a lover committed suicide near the door of his lover's house.",Girl sets herself on fire near lover's house in Ahmedabad
"With the beginning of the month of Shravan, the season of Shravaniya gambling is in full swing across Gujarat, including Saurashtra. A few days ago, a gambling den was seized from a BJP corporator's garden in Junagadh. Today, a BJP youth leader was arrested in Vadodara for gambling. According to the information received, the police raided the gambling house running in Vama Complex in the city's Karelibagh area. In which 11 people, including Vadodara BJP Yuva Morcha Minister Rushant Shah, have been arrested for gambling. Just a few days ago, a BJP corporator from Junagadh, Dharmesh Poushia, was caught gambling in a garden on Jhanjarda Road. Police investigation revealed that Dharmendra Poushia was gambling by calling people from outside to his garden.","Vadodara: 11 Nabira, including a BJP Yuva Morcha minister, caught gambling"
"As the hungry haves are facing repeated complaints of rape and molestation as if they had no fear of the law, today there was an incident of rape attempt in Bharuch's Jhagadia where a young man attempted to rape a young woman with an unstable mind by entering her house. In a village in Jhagadia taluka of Bharuch, a young woman with an unstable mind was raped. The girl's mother went to take a biscuit from the door of the house and took advantage of the loneliness of a 20-year-old girl with an unstable mind, the village youth entered the house and tried to rape the young woman. However, the mother who returned home with a biscuit saw the door closed.",Hungry haves attempt to rape restless-minded girl at home in Bharuch
"Former opposition leader Shaktisinh Gohil said on the issue of issuing a warrant to pass convener Hardik Patel, the BJP government has lost.","New twist in Hardik CCTV footage leak, latest update at a click"
"Nepal's KP Sharma Oli government appears to be very confused on the issue of ongoing tensions with India. On the one hand, Prime Minister Oli is alleging that attempts are being made to remove him from office due to the inclusion of Indian areas in Nepal's map. On the other hand, Nepal's Foreign Minister Pradeep Kumar Gyawali said without naming any person or country. On the other hand, Nepal's Foreign Minister Pradeep Kumar Gyawali said on Monday that efforts are not being made to remove him from power by flying news reports. He hoped that the border dispute between India and Nepal should not affect their bilateral relations. He expressed hope that the dispute will be resolved through diplomatic efforts. Oli said, ""Attempts are being made to remove me from power."" Notably, KP Oli said on Sunday, ""Different kinds of activities are taking place in embassies and hotels. If you listen to the media in Delhi, you will get a signal."" Some leaders of Nepal are also in favour of his immediate removal. ""Oli said without naming any person or country. He said,"" We are not going to be able to resolve the border dispute by air, but we will not be able to resolve this issue through open dialogue, ""he","Nepal Government Confused About Relations With India, PM, Foreign Minister Tussle"
