text,title
"કાબુલ, 12 જુન 2021 શનિવાર
અફઘાનિસ્તાનના પાટનગર કાબુલમાં શિયા મુસ્લિમોની બહુમતીવાળા વિસ્તારોમાં બે મિનિ વેનમાં થયેલા બોંબ વિસ્ફોટ સાત જણનાં મોત થયા, જ્યારે અન્ય છ જણ ઘવાયા.
પશ્ચિમ કાબુલમાં એક જ માર્ગ પર બે કિલોમીટરના અંતરે ઊભેલી બે મિનિ વેનમાં થયેલા વિસ્ફોટમાં કયા પ્રકારનો બોંબ વપરાયો એ સ્પષ્ટ થયું નથી. કોઇએ હુમલાની જવાબદારી સ્વીકારી નથી. 
પ્રથમ વિસ્ફોટમાં છ જણનાં મોત થયા, જ્યારે  બે જણ ઘાયલ થયા, બીજા વિસ્ફોટમાં એક જણનું મોત થયું અને ચાર જણ ઘવાયા હતા. 
જ્યાં વિસ્ફોટ થયો એ વિસ્તારમાં મોટાભાગે લઘુમતી હઝરા વંશીય જૂથના લોકો રહે છે કે જેઓ મોટા ભાગે શિયા મુસ્લિમો છે. બહુધા સુન્ની અફઘાનિસ્તાનમાં શિયા મુસ્લિમો લઘુમતીમાં છે. સ્થાનિક ઇસ્લામિક સ્ટેટ જૂથે એમની સામે યુધ્ધ જાહેર કર્યું છે. 
દરમિયાન અમેરિકા અને 'નાટો' એમની અફઘાનિસ્તાનમાંના દળો પાછા ખેંચી રહ્યા છે, જે કામ  સપ્ટેમ્બર સુધી ચાલવાની શક્યતા છે.
",અફઘાનિસ્તાનમાં મિનિ વેનમાં વિસ્ફોટો : 7 જણાનાં મોત
"જામનગર, 19 ઓગસ્ટ 2021 ગુરૂવાર
જામનગરમાં રણજીતસાગર રોડ પર નંદનવન સોસાયટી નજીક થી પસાર થતી મહાનગરપાલિકાની મુખ્ય પાણીની પાઈપલાઈનમાં એર વાલ્વ મુકવામાં આવેલો છે. જેમાં આજે સવારે એકાએક લIકેજ થઈ જતાં પાણીના ફુવારા ઉડયા હતા, અને વગર વરસાદે પાણી પાણી જેવી સ્થિતિ સર્જાઈ હતી. જોકે મહાનગરપાલિકા દ્વારા વાલ્વ ની મરામતની કામગીરી હાથ ધરી લેવાતાં પાણી લીકેજ થતું બંધ થયું છે.
 જામનગર મહાનગરપાલિકાની પંપ હાઉસ થી પવનચક્કી તરફ આવતી પાણીની મુખ્ય પાઇપલાઇનમાં નંદનવન સોસાયટી પાસે એર વાલ્વ મૂકવામાં આવ્યો છે. જે વાલ્વમાં આજે સવારે સાડા છ વાગ્યાના અરસામાં પાણી નો પ્રવાહ છોડવામાં આવતાં ફોર્સ ના કારણે એકાએક વાલ્વ લીક થયો હતો, અને પાણીના ફુવારા ઉડયા હતા. જેના કારણે ઉપરોક્ત રોડ પરથી પસાર થનારા વાહનોને વગર વરસાદે પાણીના કૂવારા નો સામનો કરવો પડ્યો હતો. ઉપરાંત માર્ગ પર પાણીના રેલા ફરી વળ્યા હતા.
 આ મામલે મહાનગરપાલિકા ને જાણ કરાતાં વોટર વર્કસ વિભાગની ટૂકડી દોડતી થઈ હતી, અને મરામતની કામગીરી હાથ ધરી લેવાતા પાણીનું લીકેજ બંધ થયું હતું. વહેલી સવારે પાણીના ફોર્સના કારણે એરવાલ્વ લીક થયો હોવાથી પાણીના ફુવારા ઉડયા હોવાનું જણાવાયું હતું. જોકે હાલમાં લીકેજ બંધ કરી દેવાયું છે.
",જામનગરમાં રણજીતસાગર રોડ પર નંદનવન સોસાયટી પાસે પાણીની પાઇપલાઇનના એર વાલ્વમાંથી લીકેજ થતાં પાણીના ફુવારા ઉડયા
"
કેરળના સબરીમાલા મંદિરમાં સુપ્રીમ કોર્ટ દ્વારા મહિલાઓના પ્રવેશની મંજૂરી બાદ બુધવારના રોજ પહેલી વખત તેના કપાટ ખૂલ્યા. બુધવારના રોજ અહીં ખૂબ હોબાળો થયો અને હજારો મહિલાઓએ મંદિરમાં પ્રવેશની નિષ્ફળ કોશિષો કરી. જો કે મંદિરના શ્રદ્ધાળુઓએ તેમને રોકયા અને મારપીટ થઇ અને ખૂબ હિંસા પણ ભડકી.
આ બધાની વચ્ચે પણ મહિલાઓ બુધવારના રોજ મંદિરની સીડીઓ સુધી પહોંચી ગઇ હતી. હવે ગુરૂવારના રોજ કોશિષ તેનાથી પણ આગળ જવાની થઇ રહી છે. ગુરૂવારના રોજ એટલે કે આજે ન્યૂયોર્ક ટાઇમ્સની રિપોર્ટર સુહાસની રાજ પંબા પહાડના રસ્તે થઇ મંદિર સુધી પહોંચવાની કોશિષ કરી રહી હતી પરંતુ તેને પાછા ફરવું પડ્યું છે.
<>

બુધવારના રોજ પણ મંદિરની તરફ જવાની કોશિષ કરાઇ રહી હતી. પરંતુ પ્રદર્શનકારીઓએ તેમને રોકી દીધા હતા. હવે આજે પણ તેઓ કડક સુરક્ષાની વચ્ચે પહાડના રસ્તાથી મંદિર જઇ રહી હતી. પરંતુ તેમણે પાછા જવાનું કહેવામાં આવ્યું. તો પોતે પણ માની ગયા. તેમણે કહ્યું કે અહીંયા કોઇ મુશ્કેલી નથી કરવા માંગતા નથી.
સુપ્રીમ કોર્ટના આદેશો બાદ પહેલી વખત 17મી ઑક્ટોબરના રોજ સાંજે 5 વાગ્યે જ્યારે કપાટ ખૂલ્યા તો આખા દેશની નજર મંદિર પર ટકેલી હતી. આની પહેલાં ત્યાં ઘણો હોબાળો થયો, પ્રદર્શનકારીઓએ મહિલા પત્રકારોને નિશાન બનાવ્યા.
સબરીમાલા મંદિરમાં બુધવારના રોજ 50 વર્ષથી વધુની ઉંમરની મહિલાઓએ જ પ્રવેશ કર્યો. સુરક્ષાના લીધે 10-50 વર્ષની ઉંમરની મહિલાઓ મંદિર સુધી પહોંચી નહીં.
શું હતો સુપ્રીમ કોર્ટનો નિર્ણય?
આપને જણાવી દઇએ કે સુપ્રીમ કોર્ટે 10 થી 50 વર્ષની મહિલાઓને મંદિરમાં પ્રવેશથી રોકવાની સદીઓ જૂની પરંપરાને ખોટી ગણાવતા તેને ખત્મ કરી દીધી હતી અને તમામ આયુવર્ગની મહિલાઓને પ્રવેશની મંજૂરી આપી દીધી હતી.
",સબરીમાલા: મહિલા પત્રકાર પહાડના રસ્તે મંદિર સુધી પહોંચી અને પછી…
"કચ્છના ધોરડોમાં કચ્છ, પાટણ અને બનાસકાંઠા જિલ્લાના સરપંચો સાથે કેન્દ્રીય ગૃહમંત્રીનો સંવાદ
ભુજ, તા. 12 નવેમ્બર, 2020, ગુરૂવાર
સમગ્ર દેશમાં સૌ પ્રથમ ગુજરાતના સરહદી વિસ્તાર એવા કચ્છ ખાતેથી સીમાંત વિકાસોત્સવ કાર્યક્રમનો પ્રારંભ કરાવતાં કેન્દ્રિય ગૃહમંત્રી અમિત શાહે જણાવ્યું હતુ કે, દેશની સુરક્ષા માટે કાર્ય કરતા જવાનોની સાથે સીમાવર્તી ગામના લોકો અને જન પ્રતિનિિધઓ પણ સીમાના પ્રહરીઓ છે. 
તેમણે જણાવ્યું હતું કે, દેશની સીમાના ગ્રામ્ય વિસ્તારોના લોકોમાં સીમા સુરક્ષા સબંિધત સામાજિક ઉત્તરદાયિત્વ કેળવવાની સાથે સીમાઓ પર પલાયન રોકવા, સીમાના ગામડાઓનો વિકાસ કરવા અને લોકોમાં દેશભકિત વધુ જીવંત બનાવવાની સાથે સીમાઓને સુરક્ષિત કરવાના ચૌમુખી ઉદ્દેશ સાથે કચ્છની ધરા પરથી સીમાંત વિકાસોત્સવ કાર્યક્રમનો પ્રારંભ કરવામાં આવ્યો છે. 
સીમાંત વિકાસોત્સવ એ અવિરત ચાલનારી શ્રૂંખલા છે અને આવનારા દિવસોમાં આ વિકાસોત્સવ દેશના વિવિધ પ્રાંત - સીમા વિસ્તારોમાં પણ યોજાશે. જયાં સુધી સીમા ઉપર રહેલા ગ્રામ્ય વિસ્તારના લોકો સીમા સુરક્ષા બાબતે જાગૃત નહીં બને ત્યાં સુધી સીમાઓને સાચા આૃર્થમાં સુરક્ષિત રાખી નહીં શકાય તેમ જણાવતાં ગૃહમંત્રીએ કહયું હતું કે, દેશની અને રાજ્યની સીમાઓ માતાના આંચલ સમાન છે. 
તેની સુરક્ષા કરવાની જવાબદારી પ્રત્યેક નાગરિકની ફરજ છે. તે પછી દેશની આંતરીક સુરક્ષા હોય કે આંતરરાષ્ટ્રીય સુરક્ષા હોય. દેશની આંતરિક સુરક્ષા જયાં સુધી મજબૂત નહી હોય ત્યાં સુધી દેશ આગળ વધી નહીં શકે. 
તેમણે ઉમેર્યુ કે, કોરોનાના કપરા કાળમાં પણ કેટલાક વિપક્ષી રાજકીય દળોએ સહયોગ આપવાના બદલે રાજકીય નિવેદનો કર્યા અને જુઠાણા ફેલાવીને દેશને બદનામ કરવાના પ્રયાસો કર્યા તે સમયે પણ દેશવાસીઓએ જે સહયોગ આપ્યો છે. જેના પરિણામે આપણે બચી શકયા છીએ.
ભારત-ચીન સીમા પર સડક નિર્માણનું કામ પ્રતિ વર્ષ 230 કિ.મી. થતું હતું એ 470 કિ.મી. પ્રતિ વર્ષ થાય છે. સીમાઓ પર 2008 થી 14 માં 1 જ સુરંગ નિર્માણ થયું હતું. વર્ષ 2014-20માં 6 નવી સુરંગોનું નિર્માણ કર્યુ છે અને 19 નવી સુરંગોના નિર્માણની કામગીરી પ્રગતિ હેઠળ છે. 
એ જ રીતે સીમાની સુરક્ષાઓ વધારવા માટે બજેટમાં પણ ઉતરોત્તર વધારો કર્યો છે. વર્ષ 2008-14માં રૂ.3300 કરોડ હતા તેની સામે વર્ષ 2017-18માં રૂ.5400 કરોડ, 2018-19માં રૂ.6700 કરોડ અને વર્ષ 2020-21માં 11 હજાર કરોડના જંગી બજેટની જોગવાઇ પણ કેન્દ્રની સરકારે કરી છે.
આ પ્રસંગે મુખ્યમંત્રી વિજય રૂપાણીએ સીમામાં સુરક્ષાઓ મહત્વપૂર્ણ યોગદાન આપી રહેલા સીમાના ગામડાઓના વિકાસ માટે સરકારની પ્રતિબધૃધતા વ્યકત કરતાં જણાવ્યું હતું કે, રાજય -  કેન્દ્ર સરકાર સીમાઓ પરના ગ્રામ્ય વિસ્તારોને વધુ સુવિધાસભર બનાવવા કટિબધૃધ છે. 
કચ્છના સફેદ રણમાં સરહદી ક્ષેત્ર વિકાસોત્સવ કાર્યક્રમ અંતર્ગત યોજાયેલા સરપંચ સંમેલનમાં કેન્દ્રિય ગૃહમંત્રી સાથે સહભાગી બનેલા મુખ્યમંત્રીએ કચ્છની સાથે બનાસકાંઠા અને  પાટણ જિલ્લાના સીમાવર્તી ગામડાઓના વિકાસ માટેના રાજય સરકારના આયોજનબધૃધ કામોનો ચિતાર આપ્યો હતો. 
તેમણે રોજગારીના સર્જન થકી સીમાને સમૃધૃધ બનાવવા ઉપર ભાર મૂકતાં જણાવ્યું હતુ કે, કચ્છ જિલ્લામાં રોજગારીના સર્જનની સાથે દુનિયાનો સૌથી મોટો રીન્યુએબલ એનર્જી પાર્ક કચ્છના સરહદી વિસ્તાર ઉપર શરૂ થવા જઇ રહયો છે. 
આ ઉપરાંત દરિયાના ખારા પાણીને મીઠા બનાવવા માટેના પ્લાન્ટનું કામ પણ હાથ ધરાયું છે, જે પૂર્ણ થતાં આ વિસ્તાર માટે પીવાના પાણીનો પ્રશ્ન ભૂતકાળ બની જશે. આ પ્રસંગે કન્દ્રીય કૃષિ, ગ્રામીણ વિકાસ મંત્રી નરેન્દ્રસિંહ તોમરે સીમાવર્તી રાજ્યોમાં વિકાસ કામોને ઐતિહસિક ગણાવ્યા હતા. જ્યારે મુખ્ય સચિવ ડૉ. અનિલ મુકીમે સ્વાગત પ્રવચન કર્યું હતું.
આ તકે બી.એસ.એફ. ના ડી.જી.પી. રાકેશ અસૃથાના દ્વારા બી.એસ.એફ.ની કામગીરીનું પ્રેઝન્ટેશન રજુ કરવામાં આવ્યું હતુ. કાર્યક્રમ દરમિયાન કચ્છ, બનાસકાંઠા અને પાટણ જિલ્લાના વિવિધ ગામોના સરપંચોએ તેમના ગામ - વિસ્તારમાં ''સરહદી વિસ્તાર વિકાસ કાર્યક્રમ'' અંતર્ગત હાથ ધરાયેલ વિકાસ કામોનો ઉલ્લેખ કરી તેમના સરહદી વિસ્તારના વિકાસ માટે રાજ્ય - કેન્દ્ર સરકાર દ્વારા કરવામાં આવેલ કાર્યો બદલ આભારની લાગણી વ્યક્ત કરી હતી.
",સરહદી લોકોની જાગૃતિ વગર સીમા અસુરક્ષિત - અમિત શાહ
"
વડાપ્રધાન નરેન્દ્ર મોદી ફરી પાછા ઝડપથી ગુજરાતની મુલાકાતે આવવાના છે. હવે તેઓ મોટા ભાગે મકરસંક્રાતિના અરસામાં આવશે અને કદાચ ૨૯મા ઈન્ટરનેશનલ કાઇટ ફેસ્ટિવલનું ઉદ્ઘાટન પણ કરશે. એમની સાથે મોંઘેરા મહેમાન હશે ઇઝરાયલના વડા પ્રધાન બેન્જામિન નેતનયાહૂ. કાર્યક્રમની તારીખો નક્કી થઈ રહી છે. અલબત્ત વડા પ્રધાન મોદીનું આ રોકાણ બે દિવસનું રહેશે તેમ જણાવાઈ રહ્યું છે.
આમ તો ઈઝરાયલના વડા પ્રધાનનું ગુજરાત આવવું વિધાનસભાની ચૂંટણી દરમિયાન નક્કી થઈ ગયું હતું, કેવળ અનુકૂળ તારીખોની ગોઠવણી બાકી રખાઈ હતી.  કેન્દ્રમાં મોદી વડા પ્રધાન બન્યાં એ પછી વિદેશી વિશિષ્ઠ મહાનુભાવને ગુજરાતમાં સત્કારવાનો આ ત્રીજો મોટો પ્રસંગ બની રહેશે. આ અગાઉ ચીનના રાષ્ટ્રપ્રમુખ જિનપિંગ તેમની પત્ની સાથે તથા જાપાનના વડા પ્રધાન શિન્ઝો આબે સપત્ની ગુજરાતનું આતિથ્ય માણી ચુક્યા છે.
વડા પ્રધાન મોદીએ ગત જુલાઈમાં વિદેશ નીતિમાં નવો ઇતિહાસ રચ્યો હતો. તેઓ ઈઝરાયલની મુલાકાત લેનારા દેશના પહેલાં વડા પ્રધાન બન્યા હતા. એ વખતે ત્રણ દિવસની ઇઝરાયલની મુલાકાત વખતે મોદીએ નેતનયાહૂને ભારત આવવા આમંત્રણ આપ્યું હતું.
વડા પ્રધાન મોદી તથા ઇઝરાયલી વડા પ્રધાન નેતનયાહૂની ગુજરાત મુલાકાત વખતે ગુજરાતમાં આઇ-ક્રિયેટ કાર્યક્રમનું લોન્ચિંગ થશે, પ્રગતિશીલ ખેડૂતોના જૂથ સાથે ઈઝરાયલી વડા પ્રધાનની મિટિંગનું આયોજન થશે તેમજ ઇઝરાયલ સાથે કૃષિ- ટેક્નોલોS ક્ષેત્રે .સમજૂતી કરારો પણ થશે, તેમ જણાવાઈ રહ્યું છે.
",ગુજરાતના કાઈટ ફેસ્ટિવલના મહેમાન બનશે ઈઝરાયેલના વડાપ્રધાન અને PM મોદી
"મુંબઇ, તા.26 ડિસેમ્બર, 2020, શનિવાર
મહારાષ્ટ્રના બુલડાણા જિલ્લાના સંગ્રામપૂર આદિવાસી તાલુકાના કાકોડા ગામના એક યુવાનનું લોકડાઉનને કારણે  બીફાર્મનું શિક્ષણ અટકી જવા પામ્યું છે. તેણે સ્થાનિક સરકારી બેંકના અનેક ધક્કા શૈક્ષણિક લોન માટે ખાધા પરંતુ બેંકે યુવાનના પિતાનું ખેતીનું કરજ બાકી હોવાનું કારણ દર્શાવી શૈક્ષણિક લોન નામંજૂર કરતાં તે ખૂબ ચિડાયો છે.
આખરે હતાશ વિદ્યાર્થીએ ઉચ્ચ શિક્ષણ અટકવાની વેળા આપતાં મુખ્યમંત્રીને પત્ર લખ્યો છે કે, બેંકે શૈક્ષણિક લોન નકારતાં ઉચ્ચ શિક્ષણ અટકવાનો  સમય આવ્યો છે. આથી  મને શિક્ષણ માટે લોન મેળવી આપો અથવા આત્મહત્યા કરવાની પરવાનગી આપો. નહિતર નક્સલવાદી બનીને આ સિસ્ટમની કમર તોડવાના પ્રયાસ કરીશ, એવો ઉદ્ધગ્નભાવ તેણે પત્રમાં વ્યક્ત કર્યો છે. આ પ્રકરણથી સોશિયલ મીડિયા સહિત સર્વત્ર ખળભળાટ મચ્યો હોઇ સરકાર આ મુદ્દે શું પગલાં લેશે તે તરફ બધાનું ધ્યાન દોરાયું છે.
",શૈક્ષણિક લોન મેળવી આપો અથવા આત્મહત્યા કરવાની પરવાનગી આપો
"સુરત, તા. 8 માર્ચ 2021, સોમવાર
સામાન્ય રીતે મંદિરોમાં પૂજા-અર્ચનાની કમાન મોટે ભાગે પુરુષોના હાથમાં હોય છે. સુરતમાં હવે 800 વર્ષ જૂના મહાદેવના મંદિરમાં પૂજા પેઢી દર પેઢી મહિલાઓ જ કરી રહી છે. પુરુષપ્રધાન માન્યતાઓનું દુષણ પરિવારની મહિલાઓએ ક્યારેય અનુભવ્યુ નથી.
વિશ્વના દરેક ખુણે નજર નાખીએ તો જુદી જુદી માન્યતાઓ વિશે સાંભળવા પણ મળે છે. આજના યુગમાં મહિલાઓ દરેક ક્ષેત્રમાં પોતાનો વ્યાપ વધારતી જઈ રહી છે ત્યારે તેમાં મંદિર પણ બાકાત નથી.
સુરત અનેક પ્રાચીન મંદિરોના ગઢ સમાન છે ત્યારે કતારગામ દરવાજા વિસ્તારમાં અનેક વર્ષો જૂનું મહાદેવનું મંદિર છે અને આઠથી પણ વધુ પેઢીઓ થી મહાદેવની પૂજા મહિલા પંડિત જ કરાવી રહી છે. હાલ 61 વર્ષના રક્ષાબેન શૈલેષગીરી ગોસ્વામી મંદિરમાં સેવા કરી રહ્યા છે અને મેનેજમેન્ટ કરી રહ્યા છે. તેમની સાથે તેમની વહુ પૂનમબેન પણ મહાદેવની સેવામાં જ છે.
અહીં સોમનાથ મહાદેવ શિવલિંગ સ્વયંભૂ પ્રગટ થયું હતું જ્યારે કામનાથ મહાદેવની સ્થાપના કરાઈ હતી. વર્ષોથી મહાદેવ ની સેવામાં કવિરાજ કાર્ય કરી રહેલા પરિવારમાં પુરુષ અને સ્ત્રી પ્રત્યેનો ભેદભાવ જોવા મળતો નથી.
પૂજા કરવા માટે પરિવારે પુરુષ અને મહિલા વચ્ચેના ભેદભાવની અનેક માન્યતાઓ અપનાવવાને બદલે માત્ર સ્ત્રીઓનું સન્માનને જ અપનાવ્યું છે. શ્રાવણ, આસો કે શિવરાત્રી જેવા તહેવારો હોય તો પણ પૂજાપાઠ ઘરની મહિલાઓ જ કરાવે છે.
દીકરાનુ હાર્ટ-એટેકમાં મૃત્યુ થયા બાદ ઘરમાં બે મહિલા અને એક પૌત્ર-પૌત્રી જ રહ્યા છે છતાં તેઓની પ્રત્યેની આસ્થા અને સેવાની ફરજમાં કોઈ ખોટ આવી નથી. તેમના પૌત્ર-પૌત્રી પણ મહાદેવની પૂજા કરે છે.
રક્ષાબેન ગોસ્વામીએ કહ્યું કે, મારા સાસુના પિયર પક્ષ તરફથી આ મંદિરની સેવા વારસામાં મળી છે. પૂર્વજોના જણાવ્યા અનુસાર મંદિરનો ઇતિહાસ 800 વર્ષ જેટલો જુનો છે. હું છેલ્લા 40 વર્ષથી મંદિરની પૂજાવિધિ કરું છું. જરૂર પડ્યે કર્મકાંડની પૂજા પણ કરી છે.
નારી જ નારાયણી છે અને તેણે જ પુરુષોને પણ જન્મ આપ્યો છે ત્યારે તેમની સાથે ભેદભાવ થવો જોઈએ નહીં. મંદિરમાં મહાદેવની સાથે માતા પાર્વતી પણ બિરાજમાન હોય છે તો તેમની પૂજા મહિલા કેમ ન કરી શકે !!! લોકોએ ખોટી માન્યતાઓ તરફ દોરવાવું જોઈએ નહીં.
",નારી તું નારાયણી: 800 વર્ષ જૂના મહાદેવના મંદિરમાં પૂજા કરાવે છે મહિલા પંડિત
"
સુરતના કોસાડ આવાસમાં ફોન પર વાત કરતી વખતે ચોથા માળેથી પટકાયેલા યુવાનનું મોત નીપજ્યું હતું.
પ્રાપ્ત માહિતી મુજબ કોસાડ આવાસમાં રહેતો ઇન્દ્રજીત પહલવાન પટેલ (ઉં.વ.૨૨) આજે સવારે દસેક વાગ્યાના અરસામાં ચોથા માળેથી નીચે પટકાયો હતો, જેને લીધે તેને ગંભીર ઇજાઓ થતા સારવાર માટે સ્મીમેર હોસ્પિટલમાં ખસેડાયો હતો. જોકે, તબીબી સારવાર કારગત નીવડે તે પહેલા તેનું મોત નીપજ્યું હતું. કાપડના કારખાનામાં કામ કરતો ઇન્દ્રજીત કોસાડમાં તેના બનેવી અને હમવતનીઓ સાથે રહેતો હતો. તેનો બીજો એક ભાઈ અને એક બહેન છે.
તેને ફોન આવ્યો હતો, ત્યારે કાનમાં ઇયર ફોન નાંખી વાતો કરવા મશગૂલ ઇન્દ્રજીત એકાએક ચોથા માળેથી નીચે પટકાયો હતો. જેમાં ગંભીર ઇજાઓ થતા તેનું મોત નીપજ્યું હતું. બનાવ અંગે અમરોલી પોલીસ તપાસ કરી રહી છે.
","ઇયર ફોન પહેરીને વાતો કરવાની છે ઘણી ટેવ, તો ચોક્કસ વાંચો આ કિસ્સો"
"
। મેડ્રિડ ।
સ્પેનિશ ફૂટબોલ લીગ લા લીગાનો ત્રણ મહિનાના લાંબી રાહ જોયા બાદ ફરીથી પ્રારંભ થઈ ચૂક્યો છે અને પ્રથમ મુકાવુંલામાં સેવિલાએ પોતાની પરંપરાગત હરીફ રિયલ બેટિસને ૨-૦થી હરાવી હતી. કોરોના વાઇરસના કારણે લા લીગા ફૂટબોલ માર્ચ મહિનાથી સ્થગિત હતી.
જર્મનીની બુંદેશ લીગા બાદ આ યુરોપની બીજી સૌથી મોટી ફૂટબોલ લીગ છે જેણે પોતાની સિઝનને ફરીથી શરૂ કરી છે. હવે ટૂંક સમયમાં ઇંગ્લેન્ડ ખાતેની પ્રીમિયર લીગ તથા ઇટાલિયન લીગનો પ્રારંભ થશે.
૪૩ હજારની ક્ષમતાવાળા સ્ટેડિયમ રેમન સાંચેઝ પિજુઆનમાં પ્રેક્ષકોને હાજર રહેવાની મંજૂરી આપવામાં આવી નહોતી પરંતુ ટેલિવિઝન ઉર વર્ચ્યુઅલ સમર્થકો તથા ભૂતકાળમાં પ્રેક્ષકોના રેકોર્ડ કરાયેલો અવાજ ટીવી તથા સ્ટેડિયમમાં સાંભળવા મળ્યો હતો. આ મુકાવુંલો જાણે વીડિયો ગેમ્સમાં થાય છે તેવી રીતે રમાયો હતો. વિશ્વભરના પ્રેક્ષકોએ આ રીતે મેચનો આનંદ માણ્યો હતો. માત્ર સ્પેનના સમર્થકો પાસે જ ખાલી સ્ટેડિયમમાં મેચનું પ્રસારણ નિહાળવાનો વિકલ્પ હતો.
બાર્સેલોના અને માલોર્કા વચ્ચે શનિવારે મુકાવુંલો
રિયલ બેટિસ સામેના વિજય સાથે સેવિલા પોઇન્ટ ટેવુંલમાં ૫૦ પોઇન્ટ સાથે ત્રીજા સ્થાને આવી ગઇ છે. તે રિયલ મેડ્રિડ કરતાં માત્ર છ પોઇન્ટ પાછળ છે. બાર્સેલોના ૨૭ મેચમાં ૫૮ પોઇન્ટ સાથે ટોચના સ્થાને છે. લીગમાં ટોચના ક્રમે રહેલી બાર્સેલોનાની ટીમ શનિવારે માલોર્કા સામે પોતાની પ્રથમ મેચ રમાશે. બીજી તરફ રવિવારે રિયલ મેડ્રિડનો ઇબાર સામે મુકાવુંલો થશે.
બોલબોય દ્વારા બોલને વારંવાર સેનિટાઇઝ કરાયો
બંને ટીમો વચ્ચેનો આ અત્યંત લોકપ્રિય મુકાવુંલો કોરોના અંગે આપવામાં આવેલી ગાઇડલાઇનના ચુસ્ત અમલ વચ્ચે રમાયો હતો. જેટલી વખત બોલ મેદાનની વુંહાર ગયો ત્યારે બોલબોયે તેને સેનિટાઇઝ કર્યો હતો. ખેલાડીઓએ પણ રેફરી સાથે વાતચીત કરતી વખતે અંતર રાખ્યું હતું. સેવિલા માટે લુકાસ ઓકામપોસોએ ૫૬મી મિનિટે ગોલ કર્યો ત્યારે ઘણા ખેલાડીઓ એકબીજાને ગળે પણ મળ્યા હતા. ૬૨મી મિનિટે ફર્નાન્ડોએ હેડર દ્વારા બીજો ગોલ નોંધાવ્યો ત્યારે પણ ખેલાડીઓએ ભારે ઉજવણી કરી હતી.
બંને ટીમના સમર્થકો સ્ટેડિયમની વુંહાર એકત્ર થયા
મેચ પહેલાં સરકારની ગાઇડલાઇને ધ્યાનમાં રાખીને મોટી સંખ્યામાં બંને ટીમોના સમર્થકો સ્ટેડિયમની વુંહાર એકત્ર થયા હતા. તેમને સ્ટેડિયમમાં ભલે પ્રવેશ ના મળ્યો હોય પરંતુ દેશમાં ફૂટબોલનું પુનરાગમન થયું તેનો તેમને આનંદ થયો હતો. મેચ પહેલાં બંને ટીમોના ખેલાડીઓએ કોરોના વાઇરસના કારણે પોતાનો જીવ ગુમાવનાર લોકોને શ્રદ્ધાંજલિ આપવા માટે એક મિનિટનું મૌન પાળ્યું હતું.
",સેવિલા-બેટિસનો વીડિયો ગેમ્સની સ્ટાઇલમાં મુકાવુંલો રમાયો
"સુરત, 
સુરતના રહેણાંક વિસ્તારમાં ભંગારના
લે વેચનો ધંધો કરનારા લોકોના આરોગ્ય સામે ખતરો બની રહ્યા ંછે. આ ધંધાર્થીઓને ત્યાંથી
141 જેટલા મચ્છરના બ્રિડીંગ સ્પોટ મળ્યા હતા.
શહેરના રહેણાંક વિસ્તારમાં ભંગાર
લે વેચનો ધંધો કરનારા ન્યુસન્સ કરતાં હોવાથી છેલ્લા ઘણાં સમયથી રહેણાંક વિસ્તારમાં
આવા ગોડાઉન અને ધંધો કરનારા સામે વિરોધ થઈ રહ્યો છે. સ્થાયી સમિતિમાં પણ આ અંગે પગલા
ભરવા માંગ થઇ હતી. જોેકે, પાલિકા તંત્ર કોઈ કડક પગલાં ભરતું ન હોવાથી લોકો પરેશાન થઇ
રહ્યા છે. હવે ચોમાસાની સિઝનમાં આ ભંગારનો ધંધો કરનારા લોકોના આરોગ્ય માટે પણ ખતરો
બની રહ્યાં છે.


અહી ભંગાર મુકી રખાતો હોવાથી મચ્છરોની
ઉત્પત્તી થઇ રહી છે. આજે વીબીડીસી વિભાગ દ્વારા ભંગારીયાઓને ત્યાં કરાયેલા સર્વેમાં
141 બ્રિડીંગ સ્પોટ મળ્યા હતા. રૃા.1050 રૃપિયાનો દંડ કરવા સાથે 122 લોકોને નોટીસ ફટકારાઇ
છે. જોકે, લોકોના આરોગ્ય સામે ખતરો ઉભો થતાં આ લોકો સામે કડક કાર્યવાહીની માગ થઈ રહી
છે. 
",સુરતમાં ભંગારીયાઓને ત્યાંથી મચ્છરોના બ્રિડીંગના 141 સ્પોટ મળ્યા
