text,title
"Kabul, June 12, 2021: A bomb explosion in two mini-vans killed seven people and injured six others in Shiite Muslim-majority areas of Afghanistan's capital Kabul on Saturday. It is unclear what type of bomb was used in the explosion in two mini-vans located two kilometers apart on the same road in western Kabul. Six people were killed in the first explosion, two were injured, one was killed in the second explosion, and four were injured. People from the majority minority Hazara ethnic group in the area where the blast occurred are mostly Shiite Muslims. Shia Muslims are a minority in often Sunni Afghanistan. The local Islamic State group has declared war on them.",7 killed as mini-van explodes in Afghanistan
"Jamnagar, August 19, 2021.",The leakage from the air valve of the water pipeline near Nandanvan Society on Ranjit Sagar Road in Jamnagar caused the water springs to overflow.
"The Sabarimala temple in Kerala opened its shutters for the first time on Wednesday after women were allowed entry. On Wednesday, there was a lot of chaos here and thousands of women made unsuccessful attempts to enter the temple. But the devotees of the temple blocked them and beat them up and even provoked a lot of violence. In the midst of all this, women climbed the steps of the temple on Wednesday. Now on Thursday, they were forced to go beyond Koshish. New York Times reporter Suhas Raj Pamba was trying to reach the temple through the hill but had to return. New York Times reporter. New York Times News Reporter",Sabarimala: A woman journalist reached the temple by climbing the hill.
"Bhuj, November 12, 2020: Union Home Minister interacted with Sarpanches of Kutch, Patan and Banaskantha districts and launched the Border Development Programme from Kutch, the border area of Gujarat.On Thursday, Union Home Minister Amit Shah said that the Border Development Programme was launched from Kutch, the first Sarpanch of the country.",Border can't be safe without awareness of border people: Amit Shah
"Prime Minister Narendra Modi is coming to Gujarat soon. Now he will come mostly on the occasion of Makar Sankranti and probably will also inaugurate the 29th International Kite Festival. He will be accompanied by the most expensive guest, Israeli Prime Minister Benjamin Netanyahu. Dates are being fixed for this event. In fact, it is said that PM Modi's visit will be for two days. Therefore, it has been decided that the Prime Minister of Israel will come to Gujarat during the assembly elections, and only favorable dates are left. This is the third big occasion to welcome a foreign dignitary to Gujarat since Modi became the Prime Minister at the Center.",The Prime Minister of Israel and Prime Minister Modi will be the guests of honour at the Gujarat Kite Festival.
"Mumbai, December 26, 2020 On Saturday, a young man from Kokoda village in Sangrampur tribal taluka of Buldana district, Maharashtra discontinued his B.Pharm education due to lockdown. He had taken several medicines from the local government bank for education loans, but was very angry that the bank had denied him education loans citing his father's farm loan as pending. In the end, he wrote that it was time to stop higher education, it was time to stop higher education by refusing bank education loans, so give me a loan for education or allow me to commit suicide. Otherwise he would try to break this system like Naxalites. This chapter created chaos everywhere, including social media.",Get an education loan or allow yourself to commit suicide
"Surat, March 8, 2021, Monday Usually, the command of worship in temples is mostly in the hands of men. A generation of women worship at the 800-year-old Mahadev temple in Surat. Women have never experienced male-dominated faiths. Women have never experienced the faith of a man in every corner of the world. One also hears about different faiths in every corner of the world. Today, when women are expanding their reach across every region, temples are no exception.",Nari Tu Narayani: Woman scholar performs puja at 800-year-old Mahadev temple
"A young man died after falling from the fourth floor while talking on the phone at Kosad residence in Surat. Indrajit Pahlawan Patel (22), a resident of Kosad residence, fell from the fourth floor at around ten o'clock this morning, which left him with serious injuries and was shifted to Smimer Hospital for treatment. However, he died before he could receive medical treatment. Indrajit, who works in a garment factory, lives with his brother-in-law and colleagues in Kosad. He has another brother and sister. He received a phone call, and Indrajit, who was fed up of putting earphones to his ears, suddenly fell from the fourth floor. The Amroli police are investigating the incident.","Talking with earphones on is a habit, so be sure to read this"
"Madrid | The Spanish football league resumed after a three-month long wait and in the first encounter Sevilla beat its traditional rival Real Betis 0-2. La Liga football has been suspended since March due to coronavirus. It is the second biggest football league in Europe after Germany's Bundesliga, which lost a game to coronavirus before resuming its season.",Mucaolla played in the style of Sevilla-Betis video games.
"The traders who sell garbage in the residential areas of Surat and Surat are a threat to their health. These traders have found 141 mosquito breeding sites from there. Newsans who sell garbage in the residential areas of the city have been protesting against such godowns and businesses in the residential areas for some time now. The Standing Committee has also demanded action in this regard. However, people are worried as the municipal administration has not taken any strict action. Now these garbage businesses are also posing a threat to the health of the people who do business. Mosquitoes are breeding here. A survey conducted by the VBDC department has found 141 mosquito breeding sites today. A fine of Rs 1050 has been imposed.",Bhangarians seize 141 mosquito breeding sites from Surat
